"Welche drei der folgenden Kriterien sind Teil der Definition von Usability?","2 Grundlegende Begriffe und Konzepte","A Barrierefreiheit | B Effizienz | C Vollständigkeit | D Effektivität | E Zufriedenstellung | F Geschwindigkeit","0 1 0 1 1 0","",""
"Welche drei der folgenden Merkmale sind am Wichtigsten für die Rekrutierung einzelner Testteilnehmer für einen Usability-Test?","8 Gestaltungslösungen evaluieren","A Ob die Person schon einmal an einem Usability-Test teilgenommen hat | B Ob die Person schon einmal an einem Usability-Test bezüglich des zu testenden interaktiven Systems teilgenommen hat | C Welches Wissen bzw. welche Erfahrung die Person bezüglich der unterstützten Aufgaben des zu testenden interaktiven Systems besitzt | D Welche Einstellungen und Interessen die Person gegenüber dem interaktiven System hat | E Ob die Person den Moderator des Usability-Tests kennt | F Ob die Person in das Benutzergruppenprofil der betreffenden Benutzergruppe passt","0 0 1 1 0 1","",""
"Welche zwei der folgenden Aktivitäten sollten im Rahmen der Planung eines Usability-Tests immer durchgeführt werden?","8 Gestaltungslösungen evaluieren","A Testteilnehmer rekrutieren | B Einen Usability-Test-Leitfaden schreiben | C Die Aufzeichnung des Usability-Tests in Form von Bildschirmaufzeichnung, Video und/oder Audio vorbereiten | D Mit den Testteilnehmern ein Briefing durchführen | E Den rekrutierten Testteilnehmern die vereinbarte Entschädigung auszahlen | F Aus einem Probelauf des Usability-Tests antizipierte UsabilityProbleme dokumentieren","1 1 0 0 0 0","",""
"Welche eine der folgenden Aussagen beschreibt am besten, was ein Usability-Test-Leitfaden ist?","8 Gestaltungslösungen evaluieren","A Die Mitschrift des Protokollanten zu dem Usability-Test | B Die Mitschrift der Moderatorin zum Verlauf der Usability-Testsitzung und welche Testaufgabe mit welchem Ergebnis vom Testteilnehmer erledigt wurde | C Die Beschreibung des Zwecks und Umfangs des Usability-Tests mit Angabe des Zeitplans und des Ablaufs | D Die Beschreibung der Testaufgaben, die dem Testteilnehmer ausgehändigt wird, damit er weiß, was er tun soll | E Eine Checkliste, um den Überblick zu behalten über die Fragen des Briefings und des Pre-Test-Interviews, die Usability-Testaufgaben und die Fragen des Post-Test-Interviews | F Eine Checkliste, um den Überblick zu behalten über die Fragen des Briefings, des Pre-Test-Interviews und des Post-Test-Interviews (die Usability-Testaufgaben stehen nicht im Usability-Test-Leitfaden, sondern im Usability-Testbericht)","0 0 0 0 1 0","",""
"Welche zwei der folgenden Aussagen beschreiben den Zweck eines PreTest-Interviews am besten?","8 Gestaltungslösungen evaluieren","A Feststellen, ob die Testteilnehmerin möglicherweise überqualifiziert ist für den Usability-Test | B Die Meinung der Testteilnehmerin über das interaktive System herausfinden, um diese mit ihrem Meinungsbild nach dem Usability-Test vergleichen zu können | C Die Testteilnehmerin informieren über den Zweck des Usability-Tests und was sie nun erwarten wird | D Sicherstellen, dass die rekrutierte Testteilnehmerin tatsächlich in das Benutzergruppenprofil der Benutzergruppe passt | E Informationen über den spezifischen Hintergrund und die Vorerfahrung der Testteilnehmerin sammeln, die später dabei helfen, die Testergebnisse zutreffend zu bewerten | F Die Testteilnehmerin mit der Situation und dem Moderator vertraut machen, damit sie keine Angst hat, im Usability-Test die Wahrheit zu sagen","0 0 0 1 1 0","",""
"Welcher eine der folgenden Begriffe ist KEINE typische Bewertung eines Usability-Befundes?","8 Gestaltungslösungen evaluieren","A Positiver Befund (sollte erhalten bleiben) | B Geringes Problem (spürbarer Mehraufwand) | C Ernstes Problem (erheblicher Mehraufwand) | D Kritisches Problem (die Aufgabe konnte nicht erledigt werden) | E Essenzielles Problem (muss unabhängig von den Kosten behoben werden) | F Katastrophales Problem (existenzielle Bedrohung)","0 0 0 0 1 0","",""
"Welche zwei der folgenden Punkte sind gute Argumente dafür, positive Usability-Befunde in einen Usability-Testbericht mit aufzunehmen?","8 Gestaltungslösungen evaluieren","A Der Bericht wird sonst nicht ernst genommen. | B Damit die Adressaten des Usability-Testberichts die Usability-Probleme besser akzeptieren. | C Damit Dinge nicht geändert oder entfernt werden, die gut funktionieren. | D Damit der Bericht nicht durch eine einseitige Ergebnisdarstellung statistisch verfälscht wird. | E Um nachzuweisen, dass die verwendete Testmethodik korrekt angewandt wurde. | F Um nachzuweisen, dass die Testteilnehmer das interaktive System verstanden haben.","0 1 1 0 0 0","",""
"Es wurde ein Usability-Test zu der Website eines Pizza-Lieferservice durchgeführt. Welche drei der folgenden Aussagen stellen valide Usability-Befunde dar, die möglicherweise in dem Usability-Test identifiziert wurden?","8 Gestaltungslösungen evaluieren","A Die Werbung auf der Startseite für einen lokal ansässigen Dienstleister ist irritierend. | B Beim Zusammenstellen einer individuellen Pizza ist es schwer zu erkennen, welche Zutaten aus der Liste möglicher Zutaten bereits ausgewählt sind. | C 80% der Testteilnehmer hatten die Website zuvor schon einmal benutzt. | D Die meisten Benutzer kamen mit dem Zusammenstellen einer individuellen Pizza gut zurecht. | E Keiner der Benutzer hat irgendeinen Kommentar zu dem unterhaltsamen Begrüßungstext auf der Startseite gemacht. | F Die Preise für extra Pizza-Zutaten wurden von den meisten Benutzern als zu hoch empfunden.","1 1 0 1 0 0","",""
"Welche eine der folgenden Aussagen beschreibt am besten, was ein Usability-Labor ist? (Hinweis: Das hier behandelte Thema ist nicht prüfungsrelevant.)","8 Gestaltungslösungen evaluieren","A Räumlichkeiten, die speziell für die Durchführung von Usability-Tests oder Fokusgruppen ausgestattet sind | B Zwei Räume, die durch einen Einwegspiegel getrennt sind, wo in dem einen Raum ein Usability-Test stattfindet und in dem anderen Raum Beobachter und Protokollanten sitzen und den Test beobachten | C Ein separater, ruhiger Raum, der für die Durchführung von UsabilityTests reserviert ist | D Räumlichkeiten, in denen Prototypen für interaktive Systeme entwickelt und getestet werden | E Räumlichkeiten, in denen Diskussionen und Befragungen mit Benutzern zu interaktiven Systemen durchgeführt werden | F Räumlichkeiten, in denen ein interaktives System entwickelt werden soll, von der Analyse über die Anforderungsspezifikation und die Gestaltung bis zur Evaluierung","1 0 0 0 0 0","",""
"Welche zwei der folgenden Punkte beschreiben Zwecke, denen eine Benutzerbefragung dienen kann?","8 Gestaltungslösungen evaluieren","A Die Effektivität eines interaktiven Systems ermitteln | B Verstehen, wie ein interaktives System tatsächlich benutzt wird | C Die Effizienz eines interaktiven Systems ermitteln | D Die Zufriedenstellung von Benutzern mit einem interaktiven System ermitteln | E Die Vermarktung eines interaktiven Systems unterstützen | F Informationen über den Nutzungskontext eines interaktiven Systems sammeln","0 0 0 1 0 1","",""
"Welche eine der folgenden Aussagen beschreibt am besten eine »Usability-Inspektion«?","8 Gestaltungslösungen evaluieren","A Ein Meeting, bei dem Designer ein Brainstorming durchführen, um Ideen für ein neues interaktives System zu generieren | B Die Evaluierung eines Storyboards | C Die Überprüfung eines interaktiven Systems, bei der Reviewer potenzielle Nutzungsprobleme identifizieren | D Ist dasselbe wie ein Usability-Test | E Ist dasselbe wie eine Fokusgruppe | F Die heuristische Evaluierung eines interaktiven Systems","0 0 1 0 0 0","",""
"Christina möchte die Zufriedenstellung von Benutzern bezüglich der Website eines Pizza-Lieferservice ermitteln. Welche eine der folgenden Aktivitäten ist am besten hierfür geeignet?","8 Gestaltungslösungen evaluieren","A Ein Usability-Test | B Ein Post-Test-Interview | C Eine Usability-Inspektion | D Eine Benutzerbefragung | E Eine Beobachtung | F Ein Briefing","0 0 0 1 0 0","",""
"Sie machen eine Usability-Inspektion einer neuen AutovermietungsWebsite. Welcher eine der folgenden Befunde ist NICHT passend für diese Inspektion?","8 Gestaltungslösungen evaluieren","A »Auf der Homepage fehlt ein ›Reservierung stornieren‹-Button.« | B »Die animierte Werbung auf der rechten Seite der Homepage geht mir auf die Nerven.« | C »Die Mietpreise sind zu hoch.« | D »Technische Ausdrücke wie CDW, Collision Damage Waiver, sind gut erklärt.« | E »Ich fand es schwer herauszufinden, wie hoch die Gesamtkosten für die Miete waren.« | F »Die visuelle Gestaltung der Website wirkt veraltet und wenig vertrauenerweckend.«","0 0 1 0 0 0","",""
"Ihr Team ist verantwortlich für die Wartung einer AutovermietungsWebsite. Das Management hat Sie beauftragt, eine quantitative Benutzerbefragung durchzuführen, die eine Vorstellung darüber liefern soll, wie zufriedengestellt die Benutzer mit der Usability der Website sind. Jede Aussage müssen die Benutzer mit »1 – völlige Ablehnung« bis »5 – völlige Zustimmung« bewerten. Welche drei der folgenden Aussagen sind geeignet für solch eine Benutzerbefragung?","8 Gestaltungslösungen evaluieren","A Die Mietkosten für das Auto auf dieser Website sind vernünftig. | B Die Website hat schöne Farben. | C Es ist einfach, ein Auto auf dieser Website zu mieten. | D Ich fand es nicht unkompliziert, mich auf dieser Website zurechtzufinden. | E Die inhärente Vertikalstrukturierung der Website ist angenehm zu verwenden. | F Die Website sieht unprofessionell aus.","0 1 1 0 0 1","",""
"Welche drei der folgenden Aussagen über Usability-Inspektionen sind korrekt?","8 Gestaltungslösungen evaluieren","A In einer Usability-Inspektion identifiziert ein HCD Professional UsabilityProbleme und stellt diese in einem Usability-Evaluierungsbericht dar. | B Eine Usability-Inspektion wird immer von mehreren Evaluatoren durchgeführt. | C Der Evaluator in einer Usability-Inspektion kann ein HCD Professional oder ein Fachexperte sein. | D Das Inspektionskriterium einer Usability-Inspektion ist analog zu einem Usability-Test immer eine Menge von Testaufgaben, die der Evaluator versucht mit dem interaktiven System abzuarbeiten. | E Die Inspektionskriterien für eine Usability-Inspektion können eine Menge einzuhaltender Gestaltungsregeln sein. | F Befunde eines Evaluators bei einer Usability-Inspektion beruhen auf Vorerfahrungen zu Usability-Problemen bei anderen interaktiven Systemen und dem Wissen über Gestaltungsregeln und Nutzungsanforderungen.","0 0 1 0 1 1","",""
"Welche drei der folgenden Punkte sind bei der Entwicklung eines Fragebogens für eine Benutzerbefragung zu beachten? (Hinweis: Das hier behandelte Thema ist nicht prüfungsrelevant.)","8 Gestaltungslösungen evaluieren","A Der Fragebogen sollte vor der Verwendung mittels Usability-Test geprüft werden. | B Der Fragebogen sollte sich ausschließlich auf die Usability oder User Experience des interaktiven Systems beziehen. | C Die Beantwortung des Fragebogens sollte voraussichtlich nicht länger als 60 Minuten dauern. | D Der Fragebogen sollte nicht mehr als 30 Fragen beinhalten. | E Der Fragebogen sollte zu jeder Zeit dem Benutzer deutlich machen, wie viele Fragen bereits beantwortet wurden und wie viele Fragen noch beantwortet werden müssen. | F Der Fragebogen sollte am Anfang zutreffend angeben, wie lange die Beantwortung voraussichtlich dauern wird.","1 0 0 0 1 1","",""
"Daniela soll eine Benutzerbefragung durchführen, mit der die Zufriedenstellung von Benutzern bezüglich der Website eines PizzaLieferservice ermittelt werden soll. Welche drei der folgenden Fragen sind für den Fragebogen sinnvoll verwendbar?","8 Gestaltungslösungen evaluieren","A »Wie oft haben Sie schon eine Website zum Bestellen einer Pizza verwendet?« | B »Wie könnten wir die Website des Pizza-Lieferservice verbessern?« | C »Fanden Sie den Teil der Website für das Bestellen von selbst zusammengestellten Pizzen verständlich und leicht zu bedienen?« | D »Auf einer Skala von 1 bis 5 (1 = Stimme überhaupt nicht zu«, 3 = »Neutral«, 5 = »Stimme voll zu«), wie sehr stimmen Sie mit folgender Aussage überein: Die Website macht auf mich einen hochwertigen und gepflegten Eindruck.« | E »Würden Sie einem Freund empfehlen, die Website zum Bestellen von Pizzen zu verwenden?« | F »Wie viele Pizza-Varianten sollte eine Pizzeria aus Ihrer Sicht in ihrem Menü anbieten?«","0 1 0 1 1 0","",""
